ID	Target	Tweet	Stance
0	god	I disagree with you completely.  Evolution is fact.  The fossils prove that.  Darwin proposed the theory of evolution by means of natural selection.  Intelligent design is just another theory, a theory of evolution by means of intelligent design (the proponents accept change has occurred and that natural selection occurs at species level),  They have failed to provide any evidence whatsoever for ID.  What would be proof?  Well, it would have to be a big jump in evolution, perhaps something like a fossil rabbit in Jurassic rocks along with dinosaur fossils, something showing that large and unexpected changes have occurred.  One theory doesn't become true just because your incredulity makes it difficult to accept other theories.  The theories you want to favour have to have some (any???) facts supporting them.	AGAINST
1	god	"what makes me feel more and more correct that there is no god is that the explanations just boil down to ""of course he [exists]"""	AGAINST
2	god	"Since there is no scientific evidence to prove a ""god's"" existence, and most stories and ideas about ""god"" have been proven wrong over the course of history, it is safe to say that there more than likely is no ""god,"" and if there is, he, she or it likely doesn't care about humanity. Therefore it is detrimental for societies to believe in ""god"" for 2 main reasons: 1: It gives people who ""speak for god"" absolute power and infallibility in the eyes of their followers, and 2: It causes people to react based on emotions as opposed to reason.1. Those who believe that their leaders are under ""god's"" guidance and are therefore all powerful and infallible put themselves under the yoke of authoritarianism. Though authoritarianism can be achieved without belief in ""god,"" religion is certainly a tool in the authoritarian arsenal as either a means of oppression, i.e: the Spanish Inquisition; or as a means of persecution, i.e: Soviet Russia/Nazi Germany. Erasing ""god"" from the minds of people allows them more freedom in their thoughts and actions. It should be up to the individual to decide what his or her personal moral boundaries and beliefs are. People should not be influenced by religion or ""god"" because they end up supporting what they are told to support as opposed to what they would support on their own.2. Belief in ""god"" causes people to respond to difficult situations with emotion rather than logic, i.e: the Crusades/ fundamentalist Islamic terrorist organizations. Though not all conflicts stem from beliefs in ""god,"" many do, and the world would be better off with fewer reasons for people to fight. Karl Marx said that religion is the opium of the people. It causes the individual to feel a certain way without taking into account his or her personal opinions. It gives people ideas for irrational plans in dealing with their problems as opposed to logical problem solving strategies. Islamic terrorism is a great example. Much of the animosity Muslim extremists feel towards the West is due to the West's support of Israel. They fight back with car bombs and suicide bombers, when peace talks would be much more effective in supporting their case."	AGAINST
3	god	" I am actually laughing at the feeble nature of your arguments. Irrefutable evidence? Ha! For the love of God (and yes, I used the Lords name in vain on purpose), why must everything complex and wonderful have to be made by a superior mind? Why do you have such a problem with accepting the possibility that everything just happened and we are the beneficiers of this Great Accident?  /> And as for contact with God? There are cases all over the world of such claims, all of them disproven.  You want to believe that you have been touched by him, so the brain simulates your desire.  A simple psychosomatic reaction. Cases have been so extreme as to induce ""stigmata"", Christ-like wounds upon believers.  I have no problem with people accepting the possibility that either religion or science is the answer, but people like this, the ones who deny any other reasoning, who make pathetic arguments for their side, despite tangible evidence of any kind, that really grate on me. God is simply another form of control that drones follow without question, because they are too foolish to question authority. Simple."	AGAINST
4	god	"Of course not.  There's no evidence for any kind of entity that somehow stands outside of existence and ""creates"" it.One should recognize that matter cannot be created or destroyed.  It is. It always was and always will be.  Matter changes its form but it does not cease to exist.  The notion of God goes back to pre-historic times when men sought an explanation for the universe and its contents. It was an understandable thing to do.  But now thanks to many geniuses---philosophers such as Aristotle and Ayn Rand and scientists such as Galileo and Newton---we've come to understand much about the universe and about the nature of man and how he learns and the legitimate forms of knowledge.  There is still much to learn.  To learn it, we certainly should put aside ancient myths.  Mysticism always leads to brutality. Faith and force go together.  Those not dedicated to reason seek to force others to believe as they do. Religion is an immoral institution and it starts with the notion that some omnipotent, infallible god in on somebody's side and others must be forced to believe it.  Consider the Crusades, the Inquisition, the witch hunts and today's latest ""fad"" suicide bombers.  All these kill themselves and others in the name of their god. No, Virginia, there is no God. Human beings are responsible for their actions.  Nature is a wonderful benevolent place.  But as Lord Bacon said, ""To command nature, we must obey it.""  So one should put all one's intellectual effort into understanding it and leave off with the wishful thinking and fantasies of religions. "	AGAINST
5	god	 There is no personal creator God who cares if you are 'sinning' and wants to send you to hell.  That's fantasy.  I can't say with absolute certainty that there is not a superior power that may have created the universe.  It's one really easy explanation to explain where all this came from, and life itself.  It's not based on anything more than a hunch though, and it comforts people.  Plus... Where the heck is God if he does exist?  So... I'm about 99% sure there is no God.  Science and reason show us how things work in the world, and nothing that has happened required a creator or God to make it happen.  Rather than ask how can the universe seem to come from nothing (common misconception), ask yourself how a supreme all-knowing force can just exist, where does that come from? Oh of course... God doesn't need an origin, does he?  It's a simple way to fill in gaps in our knowledge without using our brains so much, to say that God just made it all.  The evidence for God not existing is much greater than the evidence of his existence.	AGAINST
6	god	"""There are a lot of arguments about the existence of GOD. Some try to prove scientifically and logically. What we need to know is that GOD is so much much bigger (beyond our imagination) than what we can think of. We cannot limit GOD with our (limited and simple) mind.""In other words, God exists no matter how nonsensical the idea is to our minds and no matter the amount of evidence to the contrary that our minds can perceive.... "	FAVOR
7	god	"No, the initial force could have been non-intelligent, like in my river example. You're just stretching the word ""God"" to mean ""any possible initial force."" In conventional usage, ""God"" means ""Intelligent being who created the universe."""	AGAINST
8	god	I think you got confused when I said when it's completely away from it and someone tells, I was referring to the school teachers attending a function at the church it was completely away from school and on their own time.	FAVOR
9	god	It is how you look at it. Science can deal with creator in psyholigical sense. Why we (humans) created creator (deities) in the first place. Also any school of philosophy takes chances on idea of creator as such.However   science   may tell you some day in the future why there was big bang and what caused it. Like science told us that lighting is not an act of God and Earth is not the center of Universe. Scary thing to do is to do nothing in fields of science and teach our childrens scary stories about gnomes and so on.Even if we are in some kind of box and Creator is out of it - then he also can't interact with us. But anything what gets into the box can be in some way or another observed by us and by our scientists as well. It's simple.	AGAINST
